ID,Country
20_72,Italy
20_73,Poland
20_74,Poland
20_75,Russia
20_76,Brazil
20_77,Croatia
20_78,Turkey
20_79,Italy
20_80,Lithuania
20_81,Brazil
20_82,Italy
20_83,Italy
20_84,South Africa
20_85,Brazil
20_86,Brazil
20_87,Iran
20_88,Cuba
20_89,Argentina
20_90,Brazil
20_91,USA
21_01,Poland
21_02,Iran
21_03,Germany
21_04,Russia
21_05,Indonesia
21_06,Indonesia
21_07,Australia
21_08,South Korea
21_09,Brazil
21_10,Sweden
21_11,Croatia
21_12,Finland
21_13,Bulgaria
21_14,Bulgaria
21_15,Iran
21_16,Spain
21_17,USA
21_18,Mexico
21_19,Poland
21_20,Iran
21_21,Latvia
21_22,Spain
21_23,Iran
21_24,Indonesia
21_25,Canada
21_26,Italy
21_27,Italy
21_28,Poland
21_29,Iran
21_30,USA
21_31,Brazil
21_32,Croatia
21_33,Czech Republic
21_34,Romania
21_35,USA
21_36,USA
21_37,Czech Republic
21_38,Brazil
21_39,Poland
21_40,Germany
21_41,Brazil
21_42,Bulgaria
21_43,Latvia
21_44,Indonesia
21_45,Brazil
21_46,Italy
21_47,Malaysia
21_48,USA
21_49,Iran
21_50,Ghana
21_51,Turkey
21_52,Finland
21_53,Romania
21_54,Brazil
21_55,Brazil
21_56,Romania
21_57,Latvia
21_58,Italy
21_59,Turkey
21_60,Brazil
21_61,Canada
21_62,Iran
21_62,Italy
21_63,Czech Republic
21_64,USA
21_65,Australia
21_66,Turkey
21_67,Iran
21_68,Brazil
21_70,Brazil
21_71,Portugal
22_01,USA
